Time,Pressure
17:12:31.18,ets Jul 29 2019 12:21:46
17:12:31.18,rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
17:12:31.18,configsip: 0, SPIWP:0xee
17:12:31.19,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
17:12:31.19,mode:DIO, clock div:1
17:12:31.20,load:0x3fff0030,len:4916
17:12:31.20,load:0x40078000,len:16436
17:12:31.20,load:0x40080400,len:4
17:12:31.20,ho 8 tail 4 room 4
17:12:31.20,load:0x40080404,len:3524
17:12:31.20,entry 0x400805b8
17:12:31.36,Pressure sensor found at 0x28.
17:12:59.26,0.431
17:12:59.36,0.262
17:12:59.46,0.217
17:12:59.55,0.199
17:12:59.66,0.190
17:12:59.76,0.185
17:12:59.85,0.182
17:12:59.95,0.179
17:13:00.05,0.178
17:13:00.15,0.177
17:13:00.26,0.176
17:13:00.35,0.175
17:13:00.45,0.175
17:13:00.55,0.174
17:13:00.66,0.174
17:13:00.75,0.173
17:13:00.86,0.173
17:13:00.95,0.173
17:13:01.06,0.173
17:13:01.16,0.172
17:13:01.26,0.172
17:13:01.36,0.172
17:13:01.46,0.171
17:13:01.56,0.171
17:13:01.66,0.171
17:13:01.76,0.171
17:13:01.86,0.171
17:13:01.95,0.171
17:13:02.06,0.170
17:13:02.16,0.170
17:13:02.26,0.170
17:13:02.36,0.170
17:13:02.45,0.170
17:13:02.55,0.170
17:13:02.66,0.169
17:13:02.76,0.169
17:13:02.86,0.169
17:13:02.96,0.169
17:13:03.06,0.169
17:13:03.15,0.169
17:13:03.26,0.169
17:13:03.36,0.169
17:13:03.45,0.169
17:13:03.56,0.168
17:13:03.65,0.168
17:13:03.76,0.168
17:13:03.85,0.168
17:13:03.96,0.168
17:13:04.06,0.168
17:13:04.15,0.168
17:13:04.26,0.168
17:13:04.36,0.167
17:13:04.46,0.167
17:13:04.56,0.167
17:13:04.66,0.167
17:13:04.76,0.167
17:13:04.86,0.167
17:13:04.96,0.167
17:13:05.06,0.167
17:13:05.16,0.167
17:13:05.26,0.167
17:13:05.36,0.167
17:13:05.46,0.166
17:13:05.56,0.166
17:13:05.66,0.166
17:13:05.76,0.166
17:13:05.86,0.166
17:13:05.96,0.166
17:13:06.06,0.166
17:13:06.16,0.166
17:13:06.26,0.166
17:13:06.36,0.166
17:13:06.46,0.166
17:13:06.56,0.165
17:13:06.66,0.165
17:13:06.76,0.165
17:13:06.86,0.165
17:13:06.96,0.165
17:13:07.06,0.165
17:13:07.16,0.165
17:13:07.26,0.165
17:13:07.36,0.165
17:13:07.46,0.165
17:13:07.56,0.165
17:13:07.66,0.165
17:13:07.76,0.165
17:13:07.86,0.165
17:13:07.96,0.165
17:13:08.06,0.164
17:13:08.16,0.164
17:13:08.26,0.164
17:13:08.36,0.166
17:13:08.46,0.166
17:13:08.56,0.166
17:13:08.66,0.166
17:13:08.76,0.165
17:13:08.86,0.165
17:13:08.96,0.165
17:13:09.06,0.163
17:13:09.16,0.164
17:13:09.26,0.164
17:13:09.36,0.164
17:13:09.46,0.164
17:13:09.56,0.164
17:13:09.66,0.164
17:13:09.76,0.164
17:13:09.86,0.164
17:13:09.96,0.164
17:13:10.06,0.164
17:13:10.16,0.163
17:13:10.26,0.163
17:13:10.36,0.163
17:13:10.46,0.163
17:13:10.56,0.163
17:13:10.66,0.163
17:13:10.76,0.163
17:13:10.86,0.163
17:13:10.96,0.163
17:13:11.06,0.163
17:13:11.16,0.163
17:13:11.25,0.162
17:13:11.36,0.162
17:13:11.46,0.162
17:13:11.55,0.162
17:13:11.65,0.162
17:13:11.75,0.162
17:13:11.86,0.162
17:13:11.95,0.162
17:13:12.06,0.162
17:13:12.15,0.162
17:13:12.26,0.162
17:13:12.36,0.162
17:13:12.45,0.162
17:13:12.56,0.162
17:13:12.66,0.162
17:13:12.75,0.162
17:13:12.85,0.162
17:13:12.95,0.162
17:13:13.06,0.162
17:13:13.16,0.162
17:13:13.25,0.161
17:13:13.36,0.161
17:13:13.45,0.161
17:13:13.56,0.161
17:13:13.66,0.161
